"","hr","holiday","workingday","weathersit","temp","atemp","hum","windspeed","cnt","instant","mnth","yr","pred"
"238","21",FALSE,TRUE,"Clear to partly cloudy",0.74,0.697,0.66,0.2537,286,13985,8,1,306.97976619771
"239","22",FALSE,TRUE,"Clear to partly cloudy",0.72,0.697,0.74,0.2836,218,13986,8,1,230.749906712542
"240","23",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.7,0.2836,192,13987,8,1,158.103333862339
"241","0",FALSE,FALSE,"Clear to partly cloudy",0.7,0.6515,0.7,0.2836,180,13988,8,1,87.3822114504705
"242","1",FALSE,FALSE,"Clear to partly cloudy",0.66,0.6212,0.74,0.2239,116,13989,8,1,50.8081705526612
"243","2",FALSE,FALSE,"Light Precipitation",0.64,0.5909,0.78,0.194,85,13990,8,1,29.194906417281
"244","3",FALSE,FALSE,"Light Precipitation",0.62,0.5758,0.83,0.1642,21,13991,8,1,13.4707679201729
"245","4",FALSE,FALSE,"Clear to partly cloudy",0.62,0.5758,0.83,0.1045,10,13992,8,1,8.39188422334369
"246","5",FALSE,FALSE,"Clear to partly cloudy",0.62,0.5606,0.88,0.1045,11,13993,8,1,27.7909103415713
"247","6",FALSE,FALSE,"Misty",0.62,0.5606,0.88,0.1045,23,13994,8,1,100.502827627776
"248","7",FALSE,FALSE,"Clear to partly cloudy",0.64,0.5758,0.83,0.0896,62,13995,8,1,276.894100110997
"249","8",FALSE,FALSE,"Clear to partly cloudy",0.66,0.6061,0.83,0.1045,162,13996,8,1,427.464844781548
"250","9",FALSE,FALSE,"Clear to partly cloudy",0.68,0.6364,0.79,0.194,271,13997,8,1,268.373125311414
"251","10",FALSE,FALSE,"Clear to partly cloudy",0.72,0.6818,0.62,0.0896,407,13998,8,1,249.738939766897
"252","11",FALSE,FALSE,"Clear to partly cloudy",0.74,0.697,0.66,0.1642,499,13999,8,1,264.932350756054
"253","12",FALSE,FALSE,"Clear to partly cloudy",0.76,0.7121,0.58,0.2239,546,14000,8,1,321.054809982936
"254","13",FALSE,FALSE,"Clear to partly cloudy",0.8,0.7424,0.49,0.3582,569,14001,8,1,317.916790968299
"255","14",FALSE,FALSE,"Clear to partly cloudy",0.8,0.7424,0.49,0.2985,538,14002,8,1,306.833291821902
"256","15",FALSE,FALSE,"Clear to partly cloudy",0.8,0.7273,0.46,0.2836,562,14003,8,1,311.313117925576
"257","16",FALSE,FALSE,"Clear to partly cloudy",0.8,0.7273,0.46,0.2985,531,14004,8,1,401.856141011748
"258","17",FALSE,FALSE,"Light Precipitation",0.74,0.697,0.66,0.3582,512,14005,8,1,491.354688410622
"259","18",FALSE,FALSE,"Misty",0.7,0.6667,0.74,0.2985,300,14006,8,1,575.131737236401
"260","19",FALSE,FALSE,"Misty",0.66,0.5909,0.89,0.1045,275,14007,8,1,400.244104668837
"261","20",FALSE,FALSE,"Light Precipitation",0.66,0.5909,0.89,0.4179,160,14008,8,1,254.808674384406
"262","21",FALSE,FALSE,"Misty",0.66,0.5909,0.89,0.1642,128,14009,8,1,237.402298534398
"263","22",FALSE,FALSE,"Misty",0.66,0.5909,0.89,0.1642,168,14010,8,1,177.536343234587
"264","23",FALSE,FALSE,"Light Precipitation",0.66,0.6061,0.78,0.1642,163,14011,8,1,111.222310182928
"265","0",FALSE,FALSE,"Misty",0.64,0.6061,0.73,0.1343,120,14012,8,1,93.5623158940165
"266","1",FALSE,FALSE,"Clear to partly cloudy",0.62,0.5909,0.78,0.1343,113,14013,8,1,52.7613680540354
"267","2",FALSE,FALSE,"Clear to partly cloudy",0.64,0.6061,0.69,0.1343,86,14014,8,1,39.9254146034759
"268","3",FALSE,FALSE,"Clear to partly cloudy",0.62,0.5909,0.73,0.0896,48,14015,8,1,18.555631614821
"269","4",FALSE,FALSE,"Clear to partly cloudy",0.64,0.6061,0.69,0.0896,10,14016,8,1,9.29035047622226
"270","5",FALSE,FALSE,"Clear to partly cloudy",0.64,0.6212,0.61,0.194,10,14017,8,1,36.0878690238557
"271","6",FALSE,FALSE,"Clear to partly cloudy",0.64,0.6061,0.65,0.1642,16,14018,8,1,124.127830950899
"272","7",FALSE,FALSE,"Clear to partly cloudy",0.64,0.6061,0.65,0.1343,39,14019,8,1,337.108186672589
"273","8",FALSE,FALSE,"Clear to partly cloudy",0.66,0.6212,0.54,0.2239,119,14020,8,1,547.949797632611
"274","9",FALSE,FALSE,"Clear to partly cloudy",0.7,0.6515,0.48,0.2239,217,14021,8,1,327.159474682636
"275","10",FALSE,FALSE,"Clear to partly cloudy",0.7,0.6515,0.51,0.1642,328,14022,8,1,272.064650965098
"276","11",FALSE,FALSE,"Clear to partly cloudy",0.74,0.6667,0.42,0.1642,449,14023,8,1,298.045457922517
"277","12",FALSE,FALSE,"Clear to partly cloudy",0.74,0.6667,0.42,0.194,505,14024,8,1,351.947471303844
"278","13",FALSE,FALSE,"Clear to partly cloudy",0.78,0.697,0.4,0,543,14025,8,1,330.36069082606
"279","14",FALSE,FALSE,"Clear to partly cloudy",0.76,0.6818,0.4,0.194,579,14026,8,1,330.104112816434
"280","15",FALSE,FALSE,"Clear to partly cloudy",0.76,0.6818,0.4,0.1343,577,14027,8,1,337.69333084132
"281","16",FALSE,FALSE,"Clear to partly cloudy",0.76,0.6818,0.4,0.1045,513,14028,8,1,435.844993898384
"282","17",FALSE,FALSE,"Clear to partly cloudy",0.8,0.697,0.33,0,505,14029,8,1,641.017883875634
"283","18",FALSE,FALSE,"Clear to partly cloudy",0.78,0.6818,0.35,0.1045,491,14030,8,1,618.821315851711
"284","19",FALSE,FALSE,"Clear to partly cloudy",0.74,0.6515,0.4,0.1343,465,14031,8,1,509.691853672305
"285","20",FALSE,FALSE,"Clear to partly cloudy",0.72,0.6515,0.45,0,300,14032,8,1,408.427293084808
"286","21",FALSE,FALSE,"Clear to partly cloudy",0.72,0.6667,0.51,0.0896,220,14033,8,1,306.362102453
"287","22",FALSE,FALSE,"Clear to partly cloudy",0.7,0.6515,0.58,0.1343,181,14034,8,1,224.934954232163
"288","23",FALSE,FALSE,"Clear to partly cloudy",0.68,0.6364,0.61,0,110,14035,8,1,156.024158198779
"289","0",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6212,0.65,0.1045,47,14036,8,1,109.058939433064
"290","1",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6212,0.65,0.0896,14,14037,8,1,61.0556070149149
"291","2",FALSE,TRUE,"Clear to partly cloudy",0.64,0.6061,0.69,0.1045,9,14038,8,1,44.867479581323
"292","3",FALSE,TRUE,"Clear to partly cloudy",0.64,0.6061,0.69,0,6,14039,8,1,20.7665386548378
"293","4",FALSE,TRUE,"Clear to partly cloudy",0.64,0.6061,0.69,0.1045,11,14040,8,1,10.4418619479096
"294","5",FALSE,TRUE,"Clear to partly cloudy",0.64,0.6061,0.69,0.1045,36,14041,8,1,37.0303499620102
"295","6",FALSE,TRUE,"Clear to partly cloudy",0.62,0.5909,0.73,0.0896,159,14042,8,1,135.891614764965
"296","7",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6212,0.65,0.1343,436,14043,8,1,366.178396408668
"297","8",FALSE,TRUE,"Misty",0.72,0.6667,0.51,0.0896,673,14044,8,1,562.508469353917
"298","9",FALSE,TRUE,"Misty",0.74,0.6667,0.45,0,305,14045,8,1,336.774842719308
"299","10",FALSE,TRUE,"Misty",0.76,0.6818,0.4,0,199,14046,8,1,287.437555616588
"300","11",FALSE,TRUE,"Clear to partly cloudy",0.76,0.6818,0.4,0.0896,245,14047,8,1,328.5501340648
"301","12",FALSE,TRUE,"Clear to partly cloudy",0.78,0.697,0.4,0.194,276,14048,8,1,375.137620150087
"302","13",FALSE,TRUE,"Clear to partly cloudy",0.78,0.697,0.4,0.1642,254,14049,8,1,371.489612922298
"303","14",FALSE,TRUE,"Clear to partly cloudy",0.8,0.697,0.33,0.1045,248,14050,8,1,354.077120426572
"304","15",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7273,0.34,0.2239,274,14051,8,1,358.636089184027
"305","16",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7121,0.36,0.0896,464,14052,8,1,471.547568193812
"306","17",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7121,0.36,0.1642,818,14053,8,1,726.890201735202
"307","18",FALSE,TRUE,"Clear to partly cloudy",0.76,0.697,0.52,0.2836,812,14054,8,1,674.458253443497
"308","19",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6818,0.58,0.1642,555,14055,8,1,532.63906514894
"309","20",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6818,0.62,0.2239,432,14056,8,1,403.248427692455
"310","21",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.66,0.194,290,14057,8,1,317.495318210419
"311","22",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.62,0.3284,192,14058,8,1,244.756760016091
"312","23",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6515,0.7,0.2239,128,14059,8,1,158.55334974205
"313","0",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.74,0.2239,60,14060,8,1,98.2971297533091
"314","1",FALSE,TRUE,"Clear to partly cloudy",0.68,0.6364,0.79,0.2537,27,14061,8,1,53.1781686681655
"315","2",FALSE,TRUE,"Misty",0.68,0.6364,0.83,0.194,11,14062,8,1,37.3559978197257
"316","3",FALSE,TRUE,"Misty",0.68,0.6364,0.83,0.194,3,14063,8,1,17.295833282455
"317","4",FALSE,TRUE,"Misty",0.68,0.6364,0.83,0.194,5,14064,8,1,8.69373933637143
"318","5",FALSE,TRUE,"Misty",0.68,0.6364,0.89,0.194,36,14065,8,1,29.4768343492763
"319","6",FALSE,TRUE,"Light Precipitation",0.64,0.5758,0.83,0.194,64,14066,8,1,92.4607199192938
"320","7",FALSE,TRUE,"Misty",0.66,0.6061,0.83,0.0896,179,14067,8,1,306.935575138543
"321","8",FALSE,TRUE,"Misty",0.66,0.5909,0.89,0.0896,618,14068,8,1,440.498623187638
"322","9",FALSE,TRUE,"Misty",0.7,0.6667,0.74,0,402,14069,8,1,308.639269010779
"323","10",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6667,0.79,0.1045,208,14070,8,1,255.721563274309
"324","11",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6818,0.62,0,196,14071,8,1,297.267793793983
"325","12",FALSE,TRUE,"Clear to partly cloudy",0.78,0.7121,0.49,0.1343,300,14072,8,1,361.609956021661
"326","13",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7273,0.46,0.0896,286,14073,8,1,354.009994502029
"327","14",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7424,0.41,0.2239,255,14074,8,1,343.03156354284
"328","15",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7576,0.46,0.2239,283,14075,8,1,348.752846982494
"329","16",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7424,0.43,0.2239,458,14076,8,1,446.314185918041
"330","17",FALSE,TRUE,"Light Precipitation",0.76,0.7273,0.66,0.2537,812,14077,8,1,550.366121500072
"331","18",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7121,0.62,0.2836,854,14078,8,1,645.41469444517
"332","19",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7273,0.66,0.194,627,14079,8,1,515.977098055341
"333","20",FALSE,TRUE,"Clear to partly cloudy",0.74,0.7121,0.74,0.2239,436,14080,8,1,392.135765028362
"334","21",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6818,0.62,0.2239,308,14081,8,1,306.612057312072
"335","22",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.66,0.0896,189,14082,8,1,237.351024528996
"336","23",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6818,0.66,0.1642,167,14083,8,1,162.845168745884
"337","0",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6515,0.61,0.194,60,14084,8,1,105.021601670703
"338","1",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6515,0.61,0,37,14085,8,1,58.7608478699006
"339","2",FALSE,TRUE,"Clear to partly cloudy",0.68,0.6364,0.65,0,8,14086,8,1,43.1790388443679
"340","3",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6212,0.74,0.1045,11,14087,8,1,19.3400188660024
"341","4",FALSE,TRUE,"Clear to partly cloudy",0.64,0.5758,0.83,0.1045,4,14088,8,1,8.8387270360067
"342","5",FALSE,TRUE,"Clear to partly cloudy",0.64,0.5909,0.78,0.1045,39,14089,8,1,33.5596539938177
"343","6",FALSE,TRUE,"Clear to partly cloudy",0.64,0.5909,0.78,0.1045,172,14090,8,1,122.677453522567
"344","7",FALSE,TRUE,"Misty",0.66,0.6212,0.69,0.194,492,14091,8,1,351.643133691468
"345","8",FALSE,TRUE,"Misty",0.7,0.6515,0.65,0.2836,682,14092,8,1,524.329749029282
"346","9",FALSE,TRUE,"Misty",0.72,0.6818,0.62,0.194,367,14093,8,1,326.540694127701
"347","10",FALSE,TRUE,"Misty",0.72,0.6818,0.62,0.194,233,14094,8,1,277.771513239631
"348","11",FALSE,TRUE,"Misty",0.74,0.6818,0.58,0.194,235,14095,8,1,303.218658560522
"349","12",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6818,0.55,0.2239,307,14096,8,1,370.148503441069
"350","13",FALSE,TRUE,"Misty",0.78,0.7121,0.49,0.194,294,14097,8,1,354.365984447254
"351","14",FALSE,TRUE,"Misty",0.76,0.697,0.52,0.2985,255,14098,8,1,346.196848139038
"352","15",FALSE,TRUE,"Clear to partly cloudy",0.76,0.697,0.52,0.2537,266,14099,8,1,358.003796209175
"353","16",FALSE,TRUE,"Clear to partly cloudy",0.76,0.6818,0.48,0.194,431,14100,8,1,461.505143938793
"354","17",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6818,0.55,0.2836,851,14101,8,1,720.408819081048
"355","18",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6667,0.51,0.2239,848,14102,8,1,681.460061360926
"356","19",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6515,0.61,0.1343,649,14103,8,1,557.380026774643
"357","20",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6515,0.61,0.1343,427,14104,8,1,434.720254811614
"358","21",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6515,0.61,0.194,315,14105,8,1,330.606492312858
"359","22",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6515,0.61,0.1642,226,14106,8,1,247.213009709427
"360","23",FALSE,TRUE,"Clear to partly cloudy",0.68,0.6364,0.65,0.1045,138,14107,8,1,170.239933052959
"361","0",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6212,0.69,0,76,14108,8,1,105.805635453749
"362","1",FALSE,TRUE,"Clear to partly cloudy",0.64,0.6061,0.73,0,21,14109,8,1,59.4828476182734
"363","2",FALSE,TRUE,"Clear to partly cloudy",0.64,0.6061,0.69,0.194,15,14110,8,1,44.8806394703752
"364","3",FALSE,TRUE,"Clear to partly cloudy",0.62,0.5909,0.73,0.2537,4,14111,8,1,20.8657456496854
"365","4",FALSE,TRUE,"Clear to partly cloudy",0.62,0.5909,0.73,0.2239,5,14112,8,1,10.4871293970717
"366","5",FALSE,TRUE,"Clear to partly cloudy",0.6,0.5758,0.78,0.1642,37,14113,8,1,37.0593727616981
"367","6",FALSE,TRUE,"Clear to partly cloudy",0.6,0.5758,0.78,0.1642,165,14114,8,1,135.470689905987
"368","7",FALSE,TRUE,"Clear to partly cloudy",0.64,0.6061,0.69,0.2239,464,14115,8,1,367.805050020287
"369","8",FALSE,TRUE,"Clear to partly cloudy",0.68,0.6364,0.61,0.194,682,14116,8,1,564.876820151387
"370","9",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6667,0.54,0.1045,337,14117,8,1,339.700403844069
"371","10",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6667,0.48,0.1343,199,14118,8,1,283.269684414521
"372","11",FALSE,TRUE,"Clear to partly cloudy",0.76,0.6667,0.37,0.0896,274,14119,8,1,325.807659226139
"373","12",FALSE,TRUE,"Clear to partly cloudy",0.8,0.697,0.33,0.1045,343,14120,8,1,370.361157522556
"374","13",FALSE,TRUE,"Clear to partly cloudy",0.8,0.697,0.31,0.2239,300,14121,8,1,372.473764330496
"375","14",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7121,0.32,0,248,14122,8,1,344.666338320238
"376","15",FALSE,TRUE,"Clear to partly cloudy",0.8,0.697,0.33,0.2537,260,14123,8,1,362.465509009604
"377","16",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7121,0.32,0.2239,419,14124,8,1,455.539435058238
"378","17",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7273,0.34,0.194,897,14125,8,1,713.346561549458
"379","18",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7121,0.36,0,832,14126,8,1,687.972236745632
"380","19",FALSE,TRUE,"Clear to partly cloudy",0.76,0.6818,0.4,0.1045,677,14127,8,1,571.045326873493
"381","20",FALSE,TRUE,"Clear to partly cloudy",0.76,0.6818,0.4,0.0896,514,14128,8,1,445.356558248329
"382","21",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6667,0.48,0.194,356,14129,8,1,330.116070504354
"383","22",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6667,0.51,0.1642,254,14130,8,1,257.553939383559
"384","23",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6515,0.54,0.1045,226,14131,8,1,178.657214617473
"385","0",FALSE,TRUE,"Clear to partly cloudy",0.68,0.2424,0.57,0.1642,88,14132,8,1,50.0699054266092
"386","1",FALSE,TRUE,"Clear to partly cloudy",0.66,0.2424,0.65,0.1045,54,14133,8,1,28.1685301208616
"387","2",FALSE,TRUE,"Clear to partly cloudy",0.66,0.2424,0.61,0.1343,19,14134,8,1,21.2421174902872
"388","3",FALSE,TRUE,"Clear to partly cloudy",0.64,0.2424,0.65,0.1045,6,14135,8,1,10.1842064431274
"389","4",FALSE,TRUE,"Clear to partly cloudy",0.64,0.2424,0.73,0.1642,9,14136,8,1,4.82247239171308
"390","5",FALSE,TRUE,"Clear to partly cloudy",0.64,0.2424,0.73,0.1045,36,14137,8,1,17.0987618555553
"391","6",FALSE,TRUE,"Clear to partly cloudy",0.62,0.2424,0.78,0.1343,157,14138,8,1,64.2530951838705
"392","7",FALSE,TRUE,"Clear to partly cloudy",0.64,0.2424,0.73,0.1045,379,14139,8,1,169.767527540078
"393","8",FALSE,TRUE,"Clear to partly cloudy",0.68,0.2424,0.65,0.1343,668,14140,8,1,245.132326721344
"394","9",FALSE,TRUE,"Clear to partly cloudy",0.7,0.2424,0.58,0.1045,378,14141,8,1,147.892858173855
"395","10",FALSE,TRUE,"Clear to partly cloudy",0.74,0.2424,0.55,0.1642,231,14142,8,1,113.017724168496
"396","11",FALSE,TRUE,"Clear to partly cloudy",0.76,0.2424,0.52,0.2836,303,14143,8,1,122.499339167857
"397","12",FALSE,TRUE,"Clear to partly cloudy",0.82,0.2424,0.41,0.2239,365,14144,8,1,129.23461348917
"398","13",FALSE,TRUE,"Clear to partly cloudy",0.84,0.2424,0.36,0.3881,357,14145,8,1,124.586581656595
"399","14",FALSE,TRUE,"Clear to partly cloudy",0.86,0.2424,0.34,0.4179,328,14146,8,1,114.4182021231
"400","15",FALSE,TRUE,"Clear to partly cloudy",0.86,0.2424,0.3,0.4627,383,14147,8,1,120.647725249758
"401","16",FALSE,TRUE,"Misty",0.84,0.2424,0.32,0.4478,488,14148,8,1,161.946167800014
"402","17",FALSE,TRUE,"Clear to partly cloudy",0.82,0.2424,0.36,0.3284,791,14149,8,1,261.156191256079
"403","18",FALSE,TRUE,"Misty",0.82,0.2424,0.38,0.2537,669,14150,8,1,240.96620330252
"404","19",FALSE,TRUE,"Misty",0.74,0.2424,0.55,0.3881,491,14151,8,1,219.8366002766
"405","20",FALSE,TRUE,"Misty",0.72,0.2424,0.58,0.2239,359,14152,8,1,178.799539065167
"406","21",FALSE,TRUE,"Misty",0.68,0.2424,0.69,0.2985,255,14153,8,1,142.599357768173
"407","22",FALSE,TRUE,"Light Precipitation",0.66,0.2424,0.83,0.194,213,14154,8,1,83.528996111297
"408","23",FALSE,TRUE,"Light Precipitation",0.64,0.2424,0.83,0.2239,121,14155,8,1,61.1437156891338
"409","0",FALSE,FALSE,"Misty",0.64,0.5758,0.83,0.2239,105,14156,8,1,81.6289113826422
"410","1",FALSE,FALSE,"Light Precipitation",0.62,0.5455,0.94,0.1642,92,14157,8,1,34.4182154601766
"411","2",FALSE,FALSE,"Light Precipitation",0.62,0.5606,0.88,0.1642,43,14158,8,1,27.1690607687717
"412","3",FALSE,FALSE,"Clear to partly cloudy",0.62,0.5606,0.88,0.194,30,14159,8,1,15.5949914826169
"413","4",FALSE,FALSE,"Clear to partly cloudy",0.62,0.5909,0.73,0.2239,13,14160,8,1,9.33108146076465
"414","5",FALSE,FALSE,"Clear to partly cloudy",0.6,0.5758,0.78,0.2537,9,14161,8,1,32.9838070391976
"415","6",FALSE,FALSE,"Clear to partly cloudy",0.6,0.5606,0.83,0.2239,27,14162,8,1,112.582029302961
"416","7",FALSE,FALSE,"Clear to partly cloudy",0.6,0.5606,0.83,0.2239,64,14163,8,1,305.781885760872
"417","8",FALSE,FALSE,"Clear to partly cloudy",0.64,0.6061,0.69,0.2537,189,14164,8,1,506.780967769093
"418","9",FALSE,FALSE,"Clear to partly cloudy",0.66,0.6212,0.65,0.2836,292,14165,8,1,308.384276036986
"419","10",FALSE,FALSE,"Clear to partly cloudy",0.7,0.6515,0.54,0.1642,480,14166,8,1,266.023067209286
"420","11",FALSE,FALSE,"Clear to partly cloudy",0.72,0.6667,0.51,0,536,14167,8,1,297.156193692602
"421","12",FALSE,FALSE,"Clear to partly cloudy",0.76,0.6667,0.37,0.194,654,14168,8,1,342.403459816035
"422","13",FALSE,FALSE,"Clear to partly cloudy",0.74,0.6515,0.4,0.194,644,14169,8,1,343.001734280219
"423","14",FALSE,FALSE,"Clear to partly cloudy",0.76,0.6667,0.37,0.2836,598,14170,8,1,327.44478713505
"424","15",FALSE,FALSE,"Clear to partly cloudy",0.76,0.6667,0.37,0.2239,596,14171,8,1,334.972866259777
"425","16",FALSE,FALSE,"Clear to partly cloudy",0.76,0.6667,0.37,0.2537,641,14172,8,1,432.418256186723
"426","17",FALSE,FALSE,"Clear to partly cloudy",0.76,0.6667,0.37,0.2239,635,14173,8,1,666.344412783105
"427","18",FALSE,FALSE,"Clear to partly cloudy",0.74,0.6515,0.37,0.1642,554,14174,8,1,652.622581315516
"428","19",FALSE,FALSE,"Clear to partly cloudy",0.7,0.6364,0.45,0.1642,488,14175,8,1,542.114686605012
"429","20",FALSE,FALSE,"Clear to partly cloudy",0.7,0.6364,0.45,0.1045,341,14176,8,1,422.731578112448
"430","21",FALSE,FALSE,"Clear to partly cloudy",0.66,0.6212,0.61,0,338,14177,8,1,314.647596534368
"431","22",FALSE,FALSE,"Clear to partly cloudy",0.66,0.6212,0.61,0,261,14178,8,1,235.302623610316
"432","23",FALSE,FALSE,"Clear to partly cloudy",0.64,0.6061,0.65,0.0896,235,14179,8,1,162.11729464675
"433","0",FALSE,FALSE,"Clear to partly cloudy",0.66,0.6212,0.57,0.0896,187,14180,8,1,103.020331978177
"434","1",FALSE,FALSE,"Clear to partly cloudy",0.64,0.6061,0.65,0,131,14181,8,1,56.192018089922
"435","2",FALSE,FALSE,"Misty",0.62,0.6061,0.69,0.0896,119,14182,8,1,42.1413517107836
"436","3",FALSE,FALSE,"Misty",0.62,0.6061,0.61,0.1642,55,14183,8,1,20.7206461376961
"437","4",FALSE,FALSE,"Misty",0.62,0.6061,0.65,0.1642,26,14184,8,1,10.1079865685359
"438","5",FALSE,FALSE,"Misty",0.6,0.5909,0.73,0.1343,11,14185,8,1,34.9226332076394
"439","6",FALSE,FALSE,"Misty",0.62,0.6061,0.69,0.1045,20,14186,8,1,127.146112382122
"440","7",FALSE,FALSE,"Misty",0.62,0.6061,0.69,0.1343,41,14187,8,1,345.372834155301
"441","8",FALSE,FALSE,"Misty",0.64,0.6061,0.69,0.1045,124,14188,8,1,501.113621445612
"442","9",FALSE,FALSE,"Misty",0.66,0.6212,0.74,0,270,14189,8,1,284.943277784565
"443","10",FALSE,FALSE,"Misty",0.68,0.6364,0.69,0,425,14190,8,1,243.248953949872
"444","11",FALSE,FALSE,"Light Precipitation",0.64,0.5909,0.78,0.1642,272,14191,8,1,217.621466361785
"445","12",FALSE,FALSE,"Light Precipitation",0.64,0.6061,0.73,0,298,14192,8,1,275.015760638489
"446","13",FALSE,FALSE,"Light Precipitation",0.64,0.5758,0.83,0.1343,162,14193,8,1,237.663614427186
"447","14",FALSE,FALSE,"Light Precipitation",0.64,0.6061,0.73,0,149,14194,8,1,262.923869366267
"448","15",FALSE,FALSE,"Misty",0.64,0.6061,0.65,0,276,14195,8,1,350.27507441535
"449","16",FALSE,FALSE,"Misty",0.66,0.6212,0.65,0,356,14196,8,1,436.978422130177
"450","17",FALSE,FALSE,"Misty",0.64,0.5909,0.78,0.1045,343,14197,8,1,613.059983519813
"451","18",FALSE,FALSE,"Misty",0.64,0.5909,0.78,0.1045,377,14198,8,1,580.548798705837
"452","19",FALSE,FALSE,"Misty",0.64,0.6061,0.73,0.1343,341,14199,8,1,496.659427431463
"453","20",FALSE,FALSE,"Misty",0.64,0.6061,0.73,0.194,274,14200,8,1,387.437909534784
"454","21",FALSE,FALSE,"Light Precipitation",0.62,0.5909,0.78,0.0896,190,14201,8,1,239.283487898947
"455","22",FALSE,FALSE,"Misty",0.62,0.5909,0.78,0.1642,56,14202,8,1,219.500963571846
"456","23",FALSE,FALSE,"Misty",0.62,0.5909,0.73,0,46,14203,8,1,156.219440757598
"457","0",FALSE,TRUE,"Misty",0.6,0.5606,0.83,0.1045,26,14204,8,1,101.229170202526
"458","1",FALSE,TRUE,"Clear to partly cloudy",0.6,0.5606,0.83,0.1642,10,14205,8,1,57.2991117604991
"459","2",FALSE,TRUE,"Clear to partly cloudy",0.6,0.5606,0.83,0.1642,5,14206,8,1,41.9310117978595
"460","3",FALSE,TRUE,"Clear to partly cloudy",0.6,0.5455,0.88,0.1045,3,14207,8,1,18.129409223691
"461","4",FALSE,TRUE,"Misty",0.6,0.5606,0.83,0.0896,7,14208,8,1,9.65169714318339
"462","5",FALSE,TRUE,"Misty",0.6,0.5606,0.83,0,37,14209,8,1,34.2181125584447
"463","6",FALSE,TRUE,"Misty",0.6,0.5758,0.78,0.1343,161,14210,8,1,134.008091798979
"464","7",FALSE,TRUE,"Misty",0.62,0.5909,0.78,0.1343,442,14211,8,1,351.781080350216
"465","8",FALSE,TRUE,"Misty",0.62,0.5909,0.73,0.1045,655,14212,8,1,565.417989497162
"466","9",FALSE,TRUE,"Misty",0.64,0.6061,0.69,0,357,14213,8,1,343.984593005165
"467","10",FALSE,TRUE,"Misty",0.64,0.6061,0.69,0.0896,193,14214,8,1,292.696068427665
"468","11",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6212,0.65,0.1045,241,14215,8,1,333.097413669832
"469","12",FALSE,TRUE,"Misty",0.66,0.6212,0.61,0.1045,282,14216,8,1,400.91858331757
"470","13",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6515,0.58,0.1343,291,14217,8,1,383.537551611455
"471","14",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6667,0.54,0.1642,275,14218,8,1,368.821000277777
"472","15",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6667,0.54,0.2537,309,14219,8,1,377.484833992063
"473","16",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6667,0.54,0.2537,460,14220,8,1,487.249601812409
"474","17",FALSE,TRUE,"Clear to partly cloudy",0.7,0.6515,0.58,0.2836,893,14221,8,1,753.945504883039
